codine,Total Población,Nacidos en España,Nacidos en el Extranjero,Total Europa,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total Africa,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,Rep. Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Oceanía
03034,4004,1574,2430,2308,2217,263,23,73,9,2,1,1324,12,91,7,0,54,5,47,0,0,43,1,0,1,3,1,0,28,2,0,3,0,0,25,12,0,0
03035,821,764,57,48,44,4,0,2,0,0,0,26,7,4,1,2,2,1,1,0,0,7,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
03036,98,91,7,6,6,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03037,514,382,132,103,99,9,0,10,2,0,0,41,8,4,1,0,4,4,0,0,0,24,0,5,0,0,1,1,14,0,0,2,0,0,1,1,0,0
03038,414,369,45,35,32,0,0,2,0,0,0,27,0,3,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,1,0,0,5,0,0,0,1
03039,129,106,23,20,20,1,0,2,0,0,0,15,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
03040,413,276,137,121,120,9,1,14,0,0,0,74,1,1,0,0,6,2,3,0,0,10,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
03041,13369,6986,6383,5589,5179,1783,40,164,51,51,5,1778,407,410,24,38,285,52,219,2,1,439,91,62,7,147,9,14,36,3,24,2,5,11,62,37,1,8
03042,5488,1642,3846,3547,3299,574,20,65,20,17,4,2138,68,248,104,17,64,9,47,0,0,191,21,7,8,36,1,15,46,0,1,4,16,10,36,17,1,8
03043,3703,3516,187,95,83,3,17,16,2,0,3,32,1,12,0,0,43,1,39,0,0,34,1,0,2,9,1,2,16,1,0,0,0,0,14,4,10,1
03044,6757,5529,1228,695,592,15,109,52,4,24,5,275,42,103,34,53,295,79,215,1,0,224,10,5,3,84,0,0,99,0,0,6,13,1,14,7,0,0
03045,423,233,190,170,160,12,5,7,1,1,0,105,2,10,4,1,9,7,2,0,0,10,0,1,0,2,0,0,0,0,1,0,0,2,1,0,0,0
03046,3257,1817,1440,1344,1277,149,0,78,8,27,4,782,15,67,4,2,28,10,10,0,1,55,27,0,3,4,3,1,0,2,3,0,5,1,12,2,0,1
03047,29909,10935,18974,16023,14799,3946,243,691,181,224,53,4347,1668,1224,277,113,1140,165,671,2,243,1399,355,74,41,554,70,13,64,8,36,21,84,32,410,236,14,2
03048,7888,5613,2275,1052,1005,50,87,70,5,10,5,248,406,47,11,5,137,69,64,1,0,1063,77,312,8,29,3,12,604,2,0,0,5,4,19,13,4,4
03049,18008,14911,3097,1018,809,19,73,458,5,7,12,117,66,209,27,126,1302,50,1246,2,0,761,14,68,45,72,9,1,482,14,7,2,30,6,16,11,1,0
03050,26941,20328,6613,4380,4055,358,26,746,154,87,48,1334,375,325,92,35,485,159,276,1,3,1569,618,34,60,260,68,30,110,35,29,31,122,72,165,72,8,14
03051,420,395,25,15,15,0,10,2,0,0,0,1,0,0,0,0,4,0,3,0,0,6,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0
03052,1238,1185,53,38,23,1,9,2,0,3,0,2,5,15,0,14,1,0,1,0,0,14,5,0,0,4,0,0,3,0,0,0,0,2,0,0,0,0
03053,10513,8532,1981,1385,1313,25,19,65,10,8,3,1057,21,72,11,28,214,31,178,0,1,343,59,18,9,15,2,18,160,2,2,2,17,14,39,25,9,0
03054,493,401,92,80,77,4,0,6,0,0,0,59,1,3,2,0,5,4,1,0,0,7,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
03055,8926,6368,2558,2007,1958,53,14,89,8,6,9,1510,57,49,3,9,424,9,409,0,1,108,7,19,9,14,2,7,31,2,1,0,4,8,19,14,0,0
03056,11534,10542,992,471,446,19,19,50,5,16,9,243,63,25,6,5,287,15,260,1,1,193,39,11,15,30,17,4,33,1,16,4,3,3,40,30,8,1
03057,276,209,67,51,50,8,0,4,0,2,2,21,3,1,0,0,4,0,4,0,0,11,0,3,0,0,0,0,5,0,0,0,0,0,1,0,0,0
03058,6957,5795,1162,448,359,9,36,181,1,5,1,35,62,89,2,84,372,6,365,0,1,340,7,13,5,12,0,0,263,3,0,0,31,1,2,2,0,0
03059,28738,25039,3699,1093,1012,100,30,221,16,6,13,433,65,81,16,4,1910,67,1819,4,0,627,70,51,43,257,13,5,123,34,3,6,3,2,68,62,1,1
03060,122,114,8,7,5,0,1,1,0,0,0,3,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03061,1938,1262,676,561,535,9,0,11,0,1,0,442,8,26,0,3,94,5,82,0,0,17,0,0,0,10,6,0,0,0,0,0,0,0,4,2,0,0
03062,696,217,479,471,460,19,1,4,2,0,0,351,0,11,1,0,0,0,0,0,0,7,1,0,2,2,0,1,0,0,0,0,0,0,0,0,0,1
03063,44498,29774,14724,9751,8334,2764,600,694,228,113,102,1615,1086,1417,227,319,791,168,534,16,10,3790,693,100,103,1045,141,101,915,40,36,43,289,143,380,186,40,12
03064,7392,6178,1214,690,647,28,1,52,1,2,3,446,25,43,21,9,368,6,359,0,1,148,13,0,9,16,7,64,27,0,0,1,2,3,7,5,0,1
03065,230822,198795,32027,12779,11281,684,597,1554,310,145,217,1056,5826,1498,347,239,6964,1069,4254,312,285,10743,1656,399,329,2745,272,256,2376,1202,214,108,545,301,1530,1374,42,11
03066,54815,50277,4538,1364,1100,55,43,203,53,90,35,43,497,264,45,121,583,157,361,9,19,2419,231,90,53,1207,91,28,424,47,50,19,33,55,171,109,38,1
03067,107,102,5,5,5,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03068,38,27,11,11,11,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03069,6386,3236,3150,2525,2330,120,78,168,62,21,39,1152,184,195,36,32,107,22,81,1,0,451,135,1,30,90,44,30,44,0,17,8,27,14,64,14,18,3
03070,4364,2396,1968,1538,1478,34,100,53,13,5,21,1089,25,60,10,10,260,3,252,0,0,164,13,8,11,13,3,2,108,0,0,0,4,0,6,5,0,0
03071,6292,4731,1561,828,813,47,16,22,8,2,2,544,73,15,5,1,326,6,314,2,0,389,194,0,8,103,5,1,44,0,2,1,13,11,18,12,0,0
03072,443,372,71,67,64,1,0,0,0,0,0,56,2,3,1,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
03073,256,240,16,13,13,1,3,0,0,0,0,6,0,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
03074,2372,1968,404,135,126,0,5,85,1,0,2,3,19,9,1,7,151,0,151,0,0,118,3,10,2,9,1,0,74,2,0,0,14,0,0,0,0,0
03075,246,187,59,55,51,9,1,3,1,0,0,14,11,4,4,0,0,0,0,0,0,4,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
03076,16423,9690,6733,5522,4605,653,377,136,63,46,49,2221,236,917,234,246,356,34,287,0,8,667,287,11,65,79,27,31,52,8,7,19,34,17,187,128,4,1
03077,2948,1594,1354,1306,1295,115,11,14,6,3,1,829,5,11,2,0,10,1,8,0,0,26,0,7,2,1,0,1,1,0,0,0,0,4,12,0,1,0
03078,1202,568,634,615,605,42,1,6,0,0,1,500,4,10,0,0,0,0,0,0,0,15,1,5,0,1,0,0,8,0,0,0,0,0,4,0,0,0
03079,23861,21609,2252,864,835,44,34,86,13,1,8,12,623,29,9,7,99,35,60,0,0,1181,151,106,24,76,13,22,667,20,6,10,34,5,108,37,59,0
03080,2100,1585,515,434,415,12,8,20,4,15,0,284,26,19,2,15,39,3,35,0,0,40,10,4,6,9,0,0,7,1,1,0,2,0,2,0,0,0
03081,3269,1687,1582,1324,1298,148,9,52,6,10,0,906,18,26,2,1,104,10,93,0,0,134,57,18,1,14,3,22,5,0,2,0,1,4,20,5,1,0
03082,31909,14175,17734,14001,12993,2075,130,502,176,101,39,8051,212,1008,109,84,880,50,756,2,0,2440,352,29,80,863,42,42,443,10,17,19,200,200,388,115,88,25
03083,7407,6796,611,379,353,43,12,29,6,10,0,149,34,26,2,5,98,15,80,0,1,129,41,8,6,9,1,5,46,2,4,1,4,1,5,0,1,0
03084,715,645,70,57,57,2,0,13,0,0,0,38,0,0,0,0,4,2,2,0,0,9,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0
03085,1056,328,728,712,701,114,0,15,0,0,0,471,9,11,3,0,4,2,1,0,0,8,3,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0
03086,209,152,57,55,53,0,0,1,0,0,0,46,2,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
03088,7606,6393,1213,520,499,18,12,39,8,7,6,247,87,21,6,1,219,165,53,0,0,456,21,178,9,33,4,2,169,3,8,6,3,4,18,12,0,0
03089,12928,11600,1328,751,702,54,12,37,14,177,4,327,19,49,8,16,32,6,18,0,0,491,32,127,4,50,17,2,222,1,10,1,1,13,54,16,34,0
03090,23066,19709,3357,2135,1879,223,41,385,89,33,29,557,98,256,27,104,320,92,196,1,1,815,228,32,43,114,27,12,88,72,22,10,53,67,81,24,0,6
03091,629,284,345,320,315,15,25,5,2,0,0,244,6,5,0,0,7,5,1,0,0,18,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
