codine,Total Población,Nacidos en España,Nacidos en el Extranjero,Total Europa,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total África,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,República Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Total Oceanía
03059,29717,25436,4281,1165,612,94,9,243,23,9,11,442,53,553,20,4,2286,99,2150,3,2,726,48,24,42,346,8,3,95,26,8,19,12,36,104,69,22,0
03060,117,109,8,5,3,2,0,1,0,0,0,2,0,2,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
03061,1757,1290,467,343,86,11,4,16,1,1,0,235,1,257,1,4,86,4,80,0,0,27,3,0,0,14,2,1,1,0,0,0,1,4,11,1,0,0
03062,707,258,449,417,147,8,2,6,5,5,1,255,1,270,3,0,7,1,6,0,0,16,1,0,0,3,2,0,2,0,0,3,0,1,9,0,2,0
03063,42953,30255,12698,6521,3812,954,375,666,239,98,44,1105,691,2709,568,532,869,134,607,15,37,4765,728,61,138,1464,306,79,719,54,70,65,315,454,534,164,72,9
03064,7620,6179,1441,620,269,28,4,70,11,2,6,302,27,351,18,11,625,18,603,0,1,176,9,3,18,43,12,30,23,0,1,4,3,16,18,4,8,2
03065,234205,201703,32502,8920,6543,513,298,1494,385,137,137,745,2811,2377,445,309,8879,1446,5345,205,640,12247,1471,236,473,3937,499,192,1855,998,253,180,445,1074,2435,1931,219,21
03066,52551,47703,4848,1036,733,50,19,179,46,40,24,58,286,303,56,103,818,254,485,7,25,2796,252,66,49,1446,89,34,326,46,80,46,28,225,197,95,32,1
03067,105,97,8,6,4,0,0,1,0,0,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
03068,45,40,5,4,1,0,0,0,0,0,0,3,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03069,7402,4070,3332,2314,1047,60,81,113,87,35,27,552,155,1267,445,120,219,74,119,3,1,652,210,15,46,127,45,19,24,2,21,15,21,63,143,37,8,4
03070,4337,2603,1734,1214,432,31,53,51,10,15,5,712,39,782,19,17,345,28,296,0,0,150,27,4,15,27,1,2,56,0,0,6,3,7,24,0,7,1
03071,6223,4675,1548,635,270,52,7,48,8,11,2,313,22,365,20,13,401,3,390,0,2,473,153,0,1,190,6,3,36,0,7,1,39,26,37,7,15,2
03072,505,451,54,38,17,2,0,0,0,0,0,20,4,21,1,0,1,0,0,0,0,15,1,0,6,5,0,1,1,0,0,0,1,0,0,0,0,0
03073,261,247,14,10,6,1,4,0,0,0,0,2,0,4,2,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
03074,2609,2081,528,145,130,2,10,79,1,2,0,3,20,15,1,8,242,3,239,0,0,133,2,6,3,36,5,4,57,4,0,1,11,1,8,5,2,0
03075,243,172,71,54,32,3,0,5,2,0,2,18,0,22,4,0,0,0,0,0,0,10,7,0,0,1,0,0,0,0,0,1,0,1,6,1,0,1
03076,15983,10459,5524,4086,1717,180,291,155,103,62,20,1172,209,2369,545,434,515,57,371,0,54,732,212,6,79,104,65,27,27,12,11,18,54,61,188,93,11,3
03077,2634,1643,991,929,436,63,7,24,6,3,1,482,9,493,0,1,14,3,7,0,0,31,4,0,2,8,0,0,4,0,0,0,0,3,16,4,0,1
