codine,T2002,T2003,T2004,T2005,T2006,T2007,T2008,T2009,T2010,T2011,T2012,T2013,T2014,T2015,T2016,T2017,T2018,T2019,T2020,T2021,P2013,P2014,P2015,P2016,P2017,P2018,P2019,P2020,P2021,VIA2013,VIA2014,VIA2015,VIA2016,VIA2017,VIA2018,VIA2019,VIA2020,VIA2021
03060,6,6,6,6,6,4,4,3,3,3,3,3,2,1,1,2,7,5,5,1,0,-33.3333333333333,-66.6666666666667,-66.6666666666667,-33.3333333333333,133.333333333333,66.6666666666667,66.6666666666667,-50,0,-33.3333333333333,-50,0,100,250,-28.5714285714286,0,-80
03061,6,7,65,219,309,351,424,436,454,461,468,454,295,268,262,195,235,232,228,237,-2.99145299145299,-36.965811965812,-42.7350427350427,-44.017094017094,-58.3333333333333,-49.7863247863248,-50.4273504273504,-49.7797356828194,-19.6610169491525,-2.99145299145299,-35.0220264317181,-9.15254237288136,-2.23880597014926,-25.5725190839695,20.5128205128205,-1.27659574468085,-1.72413793103448,3.94736842105263
03062,8,21,32,88,98,183,285,346,358,370,377,376,307,285,278,321,270,259,281,263,-0.265251989389924,-18.5676392572944,-24.4031830238727,-26.2599469496021,-14.8541114058355,-28.3819628647215,-31.2997347480106,-25.2659574468085,-14.3322475570033,-0.265251989389924,-18.3510638297872,-7.16612377850163,-2.45614035087719,15.4676258992806,-15.8878504672897,-4.07407407407408,8.49420849420849,-6.40569395017793
03063,804,1009,1028,1274,1421,1509,1603,1641,1659,1603,1557,1533,1036,964,936,890,860,902,988,1144,-1.54142581888247,-33.4617854849069,-38.0860629415543,-39.8843930635838,-42.8387925497752,-44.7655748233783,-42.068079640334,-35.5512067840835,10.4247104247104,-1.54142581888247,-32.4200913242009,-6.94980694980696,-2.9045643153527,-4.91452991452991,-3.37078651685393,4.88372093023256,9.53436807095343,15.7894736842105
03064,41,57,133,255,329,403,494,520,452,430,378,317,276,293,266,273,283,311,305,310,-16.1375661375661,-26.984126984127,-22.4867724867725,-29.6296296296296,-27.7777777777778,-25.1322751322751,-17.7248677248677,-3.78548895899054,12.3188405797101,-16.1375661375661,-12.9337539432177,6.15942028985508,-9.21501706484642,2.63157894736842,3.66300366300366,9.89399293286219,-1.92926045016077,1.63934426229508
03065,197,281,396,610,826,943,1012,1038,1070,1072,1077,1104,1018,566,524,562,582,667,704,757,2.50696378830084,-5.47818012999072,-47.4466109563603,-51.3463324048282,-47.8180129990715,-45.9610027855153,-38.0687093779016,-36.231884057971,-25.6385068762279,2.50696378830084,-7.78985507246377,-44.4007858546169,-7.42049469964664,7.25190839694656,3.55871886120997,14.6048109965636,5.5472263868066,7.52840909090909
03066,3,11,17,22,27,29,32,37,35,35,40,45,46,38,28,29,33,37,37,51,12.5,15,-5,-30,-27.5,-17.5,-7.5,-17.7777777777778,10.8695652173913,12.5,2.22222222222223,-17.3913043478261,-26.3157894736842,3.57142857142857,13.7931034482759,12.1212121212121,0,37.8378378378378
03067,2,2,0,1,1,2,2,3,3,3,2,1,1,1,0,0,0,0,0,2,-50,-50,-50,-100,-100,-100,-100,-100,100,-50,0,0,-100,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!
03068,,8,8,8,8,8,8,8,8,7,7,4,3,6,6,6,3,3,3,3,-42.8571428571429,-57.1428571428571,-14.2857142857143,-14.2857142857143,-14.2857142857143,-57.1428571428571,-57.1428571428571,-25,0,-42.8571428571429,-25,100,0,0,-50,0,0,0
03069,224,331,430,528,656,862,1032,1126,1187,1270,1316,1341,772,675,510,528,499,479,531,569,1.89969604863222,-41.3373860182371,-48.7082066869301,-61.2462006079027,-59.8784194528875,-62.0820668693009,-63.6018237082067,-60.4026845637584,-26.2953367875648,1.89969604863222,-42.4310216256525,-12.5647668393782,-24.4444444444444,3.52941176470588,-5.49242424242425,-4.00801603206413,10.8559498956159,7.15630885122411
03070,21,59,137,309,501,717,996,1071,1099,1114,1163,1175,803,824,677,677,715,756,759,732,1.03181427343078,-30.9544282029235,-29.1487532244196,-41.7884780739467,-41.7884780739467,-38.5210662080825,-34.9957007738607,-35.4042553191489,-8.84184308841843,1.03181427343078,-31.6595744680851,2.61519302615193,-17.8398058252427,0,5.61299852289513,5.73426573426573,0.396825396825392,-3.55731225296442
