codine,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,P2013,P2014,P2015,P2016,P2017,P2018,P2019,P2020,P2021,VIA2013,VIA2014,VIA2015,VIA2016,VIA2017,VIA2018,VIA2019,VIA2020,VIA2021
03093,7,12,33,62,70,77,80,84,82,59,64,69,59,50,50,49,48,45,50,42,-7.81,-7.81,-21.88,-21.88,-23.44,-25,-29.69,-27.54,-28.81,7.81,-14.49,-15.25,0,-2,-2.04,-6.25,11.11,-16
03094,913,1108,1014,1388,1658,1842,1982,2141,2181,2166,2214,2283,2295,2224,2177,1458,1344,1313,1136,1093,-3.12,3.66,0.45,-1.67,-34.15,-39.3,-40.7,-50.24,-52.37,3.12,0.53,-3.09,-2.11,-33.03,-7.82,-2.31,-13.48,-3.79
03095,58,76,80,88,98,93,115,115,115,109,101,89,66,71,61,74,71,91,91,91,11.88,-34.65,-29.7,-39.6,-26.73,-29.7,-9.9,2.25,37.88,-11.88,-25.84,7.58,-14.08,21.31,-4.05,28.17,0,0
03096,0,19,44,60,73,99,105,121,120,115,116,56,73,68,58,61,58,58,63,53,51.72,-37.07,-41.38,-50,-47.41,-50,-50,12.5,-27.4,-51.72,30.36,-6.85,-14.71,5.17,-4.92,0,8.62,-15.87
03097,345,399,478,585,742,849,921,947,968,964,949,936,694,668,563,526,587,617,625,629,1.37,-26.87,-29.61,-40.67,-44.57,-38.15,-34.98,-33.23,-9.37,-1.37,-25.85,-3.75,-15.72,-6.57,11.6,5.11,1.3,0.64
03098,,27,39,53,71,93,121,141,147,152,158,159,138,133,91,84,69,58,54,55,-0.63,-12.66,-15.82,-42.41,-46.84,-56.33,-63.29,-66.04,-60.14,0.63,-13.21,-3.62,-31.58,-7.69,-17.86,-15.94,-6.9,1.85
03099,3500,6105,7123,10223,12109,14203,16327,17121,17672,18130,18641,18834,13991,13503,11861,9237,9393,9514,9602,10025,-1.04,-24.95,-27.56,-36.37,-50.45,-49.61,-48.96,-49.02,-28.35,1.04,-25.71,-3.49,-12.16,-22.12,1.69,1.29,0.92,4.41
03100,79,122,136,167,210,235,239,254,278,290,304,311,260,241,244,240,215,221,225,235,-2.3,-14.47,-20.72,-19.74,-21.05,-29.28,-27.3,-27.65,-9.62,2.3,-16.4,-7.31,1.24,-1.64,-10.42,2.79,1.81,4.44
03101,201,279,305,433,571,661,718,783,761,751,795,758,572,527,518,482,460,495,504,551,4.65,-28.05,-33.71,-34.84,-39.37,-42.14,-37.74,-33.51,-3.67,-4.65,-24.54,-7.87,-1.71,-6.95,-4.56,7.61,1.82,9.33
03102,245,377,419,566,616,655,698,727,739,744,743,753,460,505,467,378,455,460,463,505,-1.35,-38.09,-32.03,-37.15,-49.13,-38.76,-38.09,-38.51,9.78,1.35,-38.91,9.78,-7.52,-19.06,20.37,1.1,0.65,9.07
