id,codine,nombre_codine,p2002,e2002,p2003,e2003,p2004,e2004,p2005,e2005,p2006,e2006,p2007,e2007,p2008,e2008,p2009,e2009,p2010,e2010,p2011,e2011,p2012,e2012,p2013,e2013,p2014,e2014,p2015,e2015,p2016,e2016,p2017,e2017,p2018,p2018,p2019,e2019
96,03097,03097 Orba,1727,11758,1824,668,1968,794,2117,947,2361,1177,2503,1318,2566,1408,2616,1473,2629,1490,2606,1463,2604,1442,2570,1422,2216,1038,2210,1017,2085,871,2035,819,2111,901,2174,949
97,03098,03098 Orxeta,418,196,285,129,675,175,718,208,719,206,758,233,830,288,870,313,875,305,898,321,921,337,916,344,875,296,850,278,778,197,760,182,738,157,736,134
98,03099,03099 Orihuela,61018,897,67731,17866,68778,18438,75009,24324,77979,27310,80468,29758,84626,33654,86164,34875,87113,35876,88714,37143,90087,38283,91260,39022,83417,31028,82675,30275,80359,27977,76097,23697,76778,24308,77414,24904
99,03100,03100 Parcent,809,956,896,270,907,284,960,337,1019,383,1061,410,1066,414,1081,441,1085,461,1123,487,1131,503,1104,503,1020,423,997,407,985,414,965,387,908,340,929,361
100,03101,03101 Pedreguer,6152,8,6483,1146,6489,1169,6733,1411,6857,1506,7097,1694,7480,1969,7602,2079,7603,2068,7659,2077,7751,2153,7757,2073,7438,1703,7337,1587,7431,1622,7435,1598,7490,1589,7699,1749
101,03102,03102 Pego,10231,597,10659,1417,10749,1566,10781,1829,10721,1848,10878,2038,11043,2207,11133,2333,11208,2382,11116,2373,11029,2340,10957,2304,10144,1482,10331,1632,10158,1541,9923,1326,10052,1486,10128,1548
102,03103,03103 Penàguila,369,196,358,9,344,11,354,22,334,9,330,12,323,13,323,17,324,17,332,22,318,24,321,29,324,20,353,36,328,22,308,14,301,13,292,20
103,03104,03104 Petrer,30556,22,31255,826,31919,991,32388,1081,33026,1199,33486,1198,34109,1394,34523,1416,34634,1365,34726,1318,34697,1191,34757,1166,34754,1004,34586,891,34533,845,34533,840,34479,887,34276,898
104,03105,"03105 Pinós, el/Pinoso",6457,597,6645,358,6878,548,7072,692,7315,802,7442,871,7623,1059,7689,1121,7909,1319,7904,1311,7908,1299,7874,1295,7663,1074,7695,1091,7627,1029,7718,1067,7845,1155,7966,1264
105,03106,03106 Planes,796,174,789,35,794,39,793,52,799,75,803,90,839,104,844,109,850,115,836,118,831,120,817,121,778,97,753,85,725,73,733,88,713,76,693,69
106,03107,03107 Polop,2391,165,2489,674,2934,890,3353,1115,3636,1229,3869,1344,4112,1499,4245,1570,4294,1570,4474,1644,4549,1721,4688,1805,4313,1363,4369,1332,4549,1369,4725,1439,4850,1481,4965,1479
107,03109,03109 Rafal,3464,199,3506,232,3586,315,3770,468,3805,474,3901,559,4028,695,4135,736,4181,768,4162,734,4213,721,4170,690,4138,648,4167,630,4218,601,4322,633,4418,684,4498,732
108,03110,"03110 Ràfol d'Almúnia, el",481,84,498,184,536,213,532,206,588,261,635,296,692,338,697,348,726,375,746,382,749,393,719,369,659,310,635,284,630,271,631,273,644,266,653,273
109,03111,03111 Redován,5806,4324,5956,288,6257,415,6645,636,6825,697,6982,773,7261,956,7335,1032,7467,1060,7522,1056,7554,1055,7672,1095,7623,991,7706,966,7765,951,7811,911,7797,943,7869,936
110,03112,03112 Relleu,821,117,856,131,925,200,1022,273,1046,305,1090,370,1205,442,1262,504,1279,527,1338,563,1342,578,1330,584,1258,506,1279,544,1258,545,1118,407,1147,440,1160,435
111,03113,03113 Rojales,9026,66,10681,5940,11657,6890,13807,9009,15987,11096,17543,12587,19247,14225,20510,15404,20953,15851,21583,16463,22006,16883,21686,16551,18824,13669,18127,12955,17622,12427,16231,11007,16560,11283,16963,11656
112,03114,"03114 Romana, la",2069,77,2122,182,2235,286,2361,415,2407,485,2467,547,2539,609,2576,637,2602,658,2554,619,2509,589,2474,559,2465,548,2431,525,2411,516,2377,497,2376,493,2434,548
113,03115,03115 Sagra,416,112,421,76,422,76,456,114,464,142,457,154,434,140,444,155,465,172,454,161,446,150,432,151,408,129,410,133,414,141,393,114,389,112,408,125
114,03116,03116 Salinas,1322,2395,1388,128,1402,138,1466,188,1498,216,1522,215,1588,239,1596,262,1549,213,1559,195,1603,214,1586,213,1583,179,1597,200,1569,180,1562,190,1585,210,1601,211
115,03117,03117 Sanet y Negrals,592,1061,600,134,623,153,664,188,684,201,727,230,740,245,734,248,727,254,717,267,700,262,664,217,670,223,674,232,649,219,634,204,648,214,667,223
116,03118,03118 San Fulgencio,4815,1866,5700,3302,6685,4202,8197,5701,9597,7096,10583,8031,11594,8920,12030,9333,12144,9421,12354,9589,12529,9762,12688,9862,9237,6387,9021,6131,7384,4496,7646,4752,7943,5037,7855,4954
117,03119,03119 Sant Joan d'Alacant,17478,1855,18107,1358,19027,1650,19711,1989,20430,2171,20997,2509,21681,2800,21939,2956,22138,2895,22554,2926,22740,2909,23026,2936,22804,2420,22825,2259,22897,2225,23149,2158,23518,2415,23915,2675
118,03120,03120 San Miguel de Salinas,4678,1050,5333,2498,5781,2944,6620,3808,7104,4271,7625,4794,8056,5176,8135,5285,8057,5186,7862,5000,7602,4718,7012,4126,6911,3983,6773,3844,6193,3253,5797,2864,5811,2869,6034,3091
119,03121,03121 Santa Pola,20965,123,22253,2597,23220,3168,25494,4700,27521,5952,29221,6707,30987,7579,31760,7853,32507,8015,33372,8339,33965,8566,34134,8672,31529,5777,31657,5600,31309,5089,31137,4648,31745,5121,32306,5511
120,03122,03122 San Vicente del Raspeig/Sant Vicent del Raspeig,40599,37,42647,1573,44226,1983,46034,2433,47706,2866,49341,3096,51507,3640,53126,3963,54088,4113,54531,3935,55100,3954,55781,4015,55946,3633,56302,3259,56715,3240,57175,3215,57785,3511,58385,3755
121,03123,03123 Sax,8664,136,8953,257,9222,452,9399,564,9577,674,9716,787,9908,921,10054,979,10099,972,10041,953,10069,962,10091,959,9741,584,9696,544,9700,536,9737,510,9771,552,9845,587
122,03124,03124 Sella,586,165,591,65,620,80,633,89,650,103,639,87,646,94,652,108,649,107,636,100,626,98,615,85,584,69,588,70,584,68,579,68,585,66,580,67
123,03125,03125 Senija,537,6247,542,152,566,182,619,234,649,271,658,264,645,263,636,254,661,271,661,265,642,245,661,253,622,205,610,186,577,158,578,167,581,175,584,181
124,03127,03127 Tàrbena,725,57,736,176,721,190,736,227,751,260,758,278,772,307,792,331,801,342,809,345,809,354,797,354,686,265,661,253,636,226,640,237,627,232,646,241
